Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P01,S4,6,2025-08-11T15:07:38.736982,2025-08-11T15:07:38.764562,27,1,111.42158508300781,27,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:38.764562,2025-08-11T15:07:38.764562,0,2,111.42158508300781,27,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:38.665987,2025-08-11T15:07:38.764562,98,1,40.42649269104004,98,0,0,15,cat,0.3231,303.0584,372.1085,734.5301,0.3253,Yes,
P01,S4,6,2025-08-11T15:07:38.801780,2025-08-11T15:07:38.801780,0,3,111.42158508300781,27,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:38.665987,2025-08-11T15:07:38.971167,305,1,40.42649269104004,305,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:39.667371,2025-08-11T15:07:39.695626,28,1,1041.8097972869873,28,0,0,62,tv,0.6564,0.0,147.8761,461.1586,0.4454,Yes,
P01,S4,6,2025-08-11T15:07:39.695626,2025-08-11T15:07:39.742288,46,2,1041.8097972869873,74,0,0,62,tv,0.6564,0.0,147.8761,461.1586,0.4454,Yes,
P01,S4,6,2025-08-11T15:07:39.963414,2025-08-11T15:07:40.001567,38,4,111.42158508300781,65,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.096562,2025-08-11T15:07:40.135450,38,5,111.42158508300781,104,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.135450,2025-08-11T15:07:40.163689,28,6,111.42158508300781,132,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.163689,2025-08-11T15:07:40.198320,34,7,111.42158508300781,167,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.230934,2025-08-11T15:07:40.264569,33,8,111.42158508300781,201,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.264569,2025-08-11T15:07:40.302186,37,9,111.42158508300781,238,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.302186,2025-08-11T15:07:40.342418,40,10,111.42158508300781,278,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.342418,2025-08-11T15:07:40.368469,26,11,111.42158508300781,305,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.368469,2025-08-11T15:07:40.413631,45,12,111.42158508300781,350,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.413631,2025-08-11T15:07:40.433130,19,13,111.42158508300781,369,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.433130,2025-08-11T15:07:40.465105,31,14,111.42158508300781,401,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.465105,2025-08-11T15:07:40.497066,31,15,111.42158508300781,433,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.837713,2025-08-11T15:07:40.867387,29,16,111.42158508300781,463,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.867387,2025-08-11T15:07:40.899827,32,17,111.42158508300781,495,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.899827,2025-08-11T15:07:40.935436,35,18,111.42158508300781,531,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.935436,2025-08-11T15:07:40.967642,32,19,111.42158508300781,563,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:40.967642,2025-08-11T15:07:41.009923,42,20,111.42158508300781,605,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.009923,2025-08-11T15:07:41.028158,18,21,111.42158508300781,624,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.028158,2025-08-11T15:07:41.066421,38,22,111.42158508300781,662,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.066421,2025-08-11T15:07:41.097066,30,23,111.42158508300781,692,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.097066,2025-08-11T15:07:41.126661,29,24,111.42158508300781,722,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.126661,2025-08-11T15:07:41.173590,46,25,111.42158508300781,769,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.197340,2025-08-11T15:07:41.234760,37,26,111.42158508300781,806,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.234760,2025-08-11T15:07:41.281596,46,27,111.42158508300781,853,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:39.838506,2025-08-11T15:07:41.425678,1587,2,40.42649269104004,1892,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:41.731749,2025-08-11T15:07:41.769830,38,28,111.42158508300781,891,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.769830,2025-08-11T15:07:41.798573,28,29,111.42158508300781,920,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.798573,2025-08-11T15:07:41.829174,30,30,111.42158508300781,951,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.829174,2025-08-11T15:07:41.874342,45,31,111.42158508300781,996,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.874342,2025-08-11T15:07:41.897360,23,32,111.42158508300781,1019,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:42.164935,2025-08-11T15:07:42.200011,35,33,111.42158508300781,1054,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:42.432730,2025-08-11T15:07:42.471503,38,34,111.42158508300781,1093,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:42.471503,2025-08-11T15:07:42.500017,28,35,111.42158508300781,1121,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:41.425678,2025-08-11T15:07:42.926881,1501,2,40.42649269104004,3393,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:42.926881,2025-08-11T15:07:42.964878,37,36,111.42158508300781,1159,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:42.964878,2025-08-11T15:07:42.995715,30,37,111.42158508300781,1190,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.029108,2025-08-11T15:07:43.063917,34,38,111.42158508300781,1225,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.199260,2025-08-11T15:07:43.230324,31,39,111.42158508300781,1256,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.230324,2025-08-11T15:07:43.268457,38,40,111.42158508300781,1294,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.268457,2025-08-11T15:07:43.296525,28,41,111.42158508300781,1322,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.296525,2025-08-11T15:07:43.329542,33,42,111.42158508300781,1355,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.329542,2025-08-11T15:07:43.364759,35,43,111.42158508300781,1390,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.364759,2025-08-11T15:07:43.404298,39,44,111.42158508300781,1430,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.404298,2025-08-11T15:07:43.431624,27,45,111.42158508300781,1457,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.431624,2025-08-11T15:07:43.464087,32,46,111.42158508300781,1490,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.464087,2025-08-11T15:07:43.498247,34,47,111.42158508300781,1524,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:43.702980,2025-08-11T15:07:43.729869,26,48,111.42158508300781,1551,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:42.926881,2025-08-11T15:07:44.432036,1505,2,40.42649269104004,4898,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:44.600120,2025-08-11T15:07:44.626484,26,49,111.42158508300781,1577,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.626484,2025-08-11T15:07:44.662106,35,50,111.42158508300781,1613,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.662106,2025-08-11T15:07:44.705676,43,51,111.42158508300781,1656,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.705676,2025-08-11T15:07:44.731596,25,52,111.42158508300781,1682,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.731596,2025-08-11T15:07:44.764527,32,53,111.42158508300781,1715,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.764527,2025-08-11T15:07:44.795062,30,54,111.42158508300781,1746,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.795062,2025-08-11T15:07:44.834982,39,55,111.42158508300781,1786,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.834982,2025-08-11T15:07:44.862088,27,56,111.42158508300781,1813,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.862088,2025-08-11T15:07:44.897228,35,57,111.42158508300781,1848,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.973714,2025-08-11T15:07:44.997031,23,58,111.42158508300781,1871,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.802676,2025-08-11T15:07:45.845730,43,59,111.42158508300781,1914,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.845730,2025-08-11T15:07:45.856760,11,60,111.42158508300781,1925,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.856760,2025-08-11T15:07:45.898659,41,61,111.42158508300781,1967,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.898659,2025-08-11T15:07:45.930852,32,62,111.42158508300781,1999,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.930852,2025-08-11T15:07:45.958468,27,63,111.42158508300781,2027,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:44.432036,2025-08-11T15:07:45.958468,1526,2,40.42649269104004,6425,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:45.958468,2025-08-11T15:07:45.996895,38,64,111.42158508300781,2065,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.996895,2025-08-11T15:07:46.034235,37,65,111.42158508300781,2103,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.034235,2025-08-11T15:07:46.064941,30,66,111.42158508300781,2133,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.064941,2025-08-11T15:07:46.096580,31,67,111.42158508300781,2165,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.096580,2025-08-11T15:07:46.137613,41,68,111.42158508300781,2206,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.137613,2025-08-11T15:07:46.158135,20,69,111.42158508300781,2227,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.196191,2025-08-11T15:07:46.228364,32,70,111.42158508300781,2259,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.228364,2025-08-11T15:07:46.303753,75,71,111.42158508300781,2334,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.303753,2025-08-11T15:07:46.329969,26,72,111.42158508300781,2360,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.329969,2025-08-11T15:07:46.362311,32,73,111.42158508300781,2393,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.362311,2025-08-11T15:07:46.400807,38,74,111.42158508300781,2431,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.400807,2025-08-11T15:07:46.445537,44,75,111.42158508300781,2476,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.445537,2025-08-11T15:07:46.460348,14,76,111.42158508300781,2491,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.460348,2025-08-11T15:07:46.496362,36,77,111.42158508300781,2527,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.496362,2025-08-11T15:07:46.534227,37,78,111.42158508300781,2565,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.534227,2025-08-11T15:07:46.564694,30,79,111.42158508300781,2595,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.564694,2025-08-11T15:07:46.605199,40,80,111.42158508300781,2636,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.605199,2025-08-11T15:07:46.645625,40,81,111.42158508300781,2676,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.645625,2025-08-11T15:07:46.664552,18,82,111.42158508300781,2695,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:46.664552,2025-08-11T15:07:46.715421,50,83,111.42158508300781,2746,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.025394,2025-08-11T15:07:47.068656,43,84,111.42158508300781,2789,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.297501,2025-08-11T15:07:47.331877,34,85,111.42158508300781,2824,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.331877,2025-08-11T15:07:47.361461,29,86,111.42158508300781,2853,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:45.958468,2025-08-11T15:07:47.460484,1502,2,40.42649269104004,7927,0,0,60,dining table,3.3586,469.0631,1068.1937,1025.3068,0.6949,Yes,
P01,S4,6,2025-08-11T15:07:47.500733,2025-08-11T15:07:47.531542,30,87,111.42158508300781,2884,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.790151,2025-08-11T15:07:47.831160,41,88,111.42158508300781,2925,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.831160,2025-08-11T15:07:47.861574,30,89,111.42158508300781,2955,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.861574,2025-08-11T15:07:47.894518,32,90,111.42158508300781,2988,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.894518,2025-08-11T15:07:47.933286,38,91,111.42158508300781,3027,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.933286,2025-08-11T15:07:47.960162,26,92,111.42158508300781,3054,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.960162,2025-08-11T15:07:47.991410,31,93,111.42158508300781,3085,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:47.991410,2025-08-11T15:07:48.033651,42,94,111.42158508300781,3127,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:48.033651,2025-08-11T15:07:48.065033,31,95,111.42158508300781,3159,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:48.065033,2025-08-11T15:07:48.092985,27,96,111.42158508300781,3187,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
P01,S4,6,2025-08-11T15:07:48.092985,2025-08-11T15:07:48.131305,38,97,111.42158508300781,3225,0,0,41,cup,226.1282,525.6492,341.0912,651.3605,0.5189,Yes,
