Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P01,S4,2,2025-08-11T15:05:39.057622,2025-08-11T15:05:39.057622,0,1,202.3179531097412,0,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.117219,2025-08-11T15:05:39.117219,0,2,202.3179531097412,0,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.155004,2025-08-11T15:05:39.181288,26,3,202.3179531097412,26,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.016708,2025-08-11T15:05:39.181288,164,1,161.40413284301758,164,0,0,67,cell phone,669.9468,703.5795,800.1003,843.9227,0.371,Yes,
P01,S4,2,2025-08-11T15:05:39.219118,2025-08-11T15:05:39.265397,46,4,202.3179531097412,72,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.219118,2025-08-11T15:05:39.265397,46,2,161.40413284301758,210,0,0,67,cell phone,669.9468,703.5795,800.1003,843.9227,0.371,Yes,
P01,S4,2,2025-08-11T15:05:39.265397,2025-08-11T15:05:39.282683,17,5,202.3179531097412,89,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.282683,2025-08-11T15:05:39.316505,33,6,202.3179531097412,123,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.316505,2025-08-11T15:05:39.352780,36,7,202.3179531097412,159,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.352780,2025-08-11T15:05:39.390247,37,8,202.3179531097412,197,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.390247,2025-08-11T15:05:39.437600,47,9,202.3179531097412,244,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.437600,2025-08-11T15:05:39.454241,16,10,202.3179531097412,261,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.454241,2025-08-11T15:05:39.482298,28,11,202.3179531097412,289,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.437600,2025-08-11T15:05:39.482298,44,3,161.40413284301758,255,0,0,67,cell phone,669.9468,703.5795,800.1003,843.9227,0.371,Yes,
P01,S4,2,2025-08-11T15:05:39.482298,2025-08-11T15:05:39.525779,43,12,202.3179531097412,332,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.525779,2025-08-11T15:05:39.554539,28,13,202.3179531097412,361,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.554539,2025-08-11T15:05:39.597826,43,14,202.3179531097412,404,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.597826,2025-08-11T15:05:39.618699,20,15,202.3179531097412,425,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.618699,2025-08-11T15:05:39.649462,30,16,202.3179531097412,456,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.649462,2025-08-11T15:05:39.777650,128,17,202.3179531097412,584,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.777650,2025-08-11T15:05:39.795527,17,18,202.3179531097412,602,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.844081,2025-08-11T15:05:39.877158,33,19,202.3179531097412,635,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.877158,2025-08-11T15:05:39.917688,40,20,202.3179531097412,676,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.917688,2025-08-11T15:05:39.943379,25,21,202.3179531097412,701,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:39.943379,2025-08-11T15:05:40.014713,71,22,202.3179531097412,773,0,0,0,person,672.9429,741.2633,1087.475,1074.4117,0.6681,Yes,
P01,S4,2,2025-08-11T15:05:40.143350,2025-08-11T15:05:40.143350,0,1,1288.045883178711,0,0,0,41,cup,358.2106,533.0217,492.1007,658.8904,0.5486,Yes,
P01,S4,2,2025-08-11T15:05:40.176340,2025-08-11T15:05:40.176340,0,2,1288.045883178711,0,0,0,41,cup,358.2106,533.0217,492.1007,658.8904,0.5486,Yes,
P01,S4,2,2025-08-11T15:05:40.209674,2025-08-11T15:05:40.257743,48,3,1288.045883178711,48,0,0,41,cup,358.2106,533.0217,492.1007,658.8904,0.5486,Yes,
P01,S4,2,2025-08-11T15:05:40.276603,2025-08-11T15:05:40.316131,39,4,1288.045883178711,87,0,0,41,cup,358.2106,533.0217,492.1007,658.8904,0.5486,Yes,
