Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P01,S1,5,2025-08-11T14:49:59.622264,2025-08-11T14:49:59.654757,32,1,49.32546615600586,32,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.654757,2025-08-11T14:49:59.688634,33,2,49.32546615600586,66,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.688634,2025-08-11T14:49:59.721469,32,3,49.32546615600586,99,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.854976,2025-08-11T14:49:59.889240,34,4,49.32546615600586,133,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.889240,2025-08-11T14:49:59.921481,32,5,49.32546615600586,165,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.921481,2025-08-11T14:49:59.954861,33,6,49.32546615600586,199,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:50:00.171405,2025-08-11T14:50:00.187580,16,7,49.32546615600586,215,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.721469,2025-08-11T14:50:00.187580,466,1,148.5307216644287,466,0,0,65,remote,20.0073,839.0164,217.7408,1027.1876,0.363,Yes,
P01,S1,5,2025-08-11T14:50:00.187580,2025-08-11T14:50:00.210776,23,8,49.32546615600586,238,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:50:00.210776,2025-08-11T14:50:00.285124,74,9,49.32546615600586,312,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:49:59.622264,2025-08-11T14:50:00.285124,662,1,49.32546615600586,662,0,0,67,cell phone,21.0101,840.6531,221.6137,1026.2561,0.4361,Yes,
P01,S1,5,2025-08-11T14:50:00.285124,2025-08-11T14:50:00.325712,40,10,49.32546615600586,353,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:50:00.325712,2025-08-11T14:50:00.325893,0,11,49.32546615600586,353,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:50:00.325893,2025-08-11T14:50:00.339427,13,12,49.32546615600586,367,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
P01,S1,5,2025-08-11T14:50:00.325712,2025-08-11T14:50:00.339427,13,2,49.32546615600586,676,0,0,67,cell phone,21.0101,840.6531,221.6137,1026.2561,0.4361,Yes,
P01,S1,5,2025-08-11T14:50:00.339427,2025-08-11T14:50:00.355975,16,13,49.32546615600586,383,0,0,0,person,107.1831,902.2532,353.5194,1077.6949,0.4018,Yes,
