Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P02,S5,5,2025-08-11T16:02:32.608156,2025-08-11T16:02:32.909142,300,1,83.56595039367676,300,0,0,0,person,0.0,0.8656,350.7993,1064.6132,0.736,Yes,
P02,S5,5,2025-08-11T16:02:32.909142,2025-08-11T16:02:32.946102,36,1,384.5522403717041,36,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:32.946102,2025-08-11T16:02:32.975534,29,2,384.5522403717041,66,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:32.975534,2025-08-11T16:02:32.975534,0,3,384.5522403717041,66,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.012497,2025-08-11T16:02:33.012497,0,4,384.5522403717041,66,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.041935,2025-08-11T16:02:33.041935,0,5,384.5522403717041,66,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.075583,2025-08-11T16:02:33.075583,0,6,384.5522403717041,66,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.114590,2025-08-11T16:02:33.144108,29,7,384.5522403717041,95,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.144108,2025-08-11T16:02:33.173921,29,8,384.5522403717041,125,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.173921,2025-08-11T16:02:33.173921,0,9,384.5522403717041,125,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.213378,2025-08-11T16:02:33.238969,25,10,384.5522403717041,151,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.238969,2025-08-11T16:02:33.274261,35,11,384.5522403717041,186,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.274261,2025-08-11T16:02:33.309423,35,12,384.5522403717041,221,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.309423,2025-08-11T16:02:33.341036,31,13,384.5522403717041,253,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.341036,2025-08-11T16:02:33.408726,67,14,384.5522403717041,321,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.408726,2025-08-11T16:02:33.453886,45,15,384.5522403717041,366,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
P02,S5,5,2025-08-11T16:02:33.453886,2025-08-11T16:02:33.454015,0,16,384.5522403717041,366,0,0,41,cup,445.7277,587.9091,519.6901,664.6944,0.5209,Yes,
