Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P02,S4,1,2025-08-11T15:56:18.306929,2025-08-11T15:56:18.340296,33,1,103.18613052368164,33,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.406910,2025-08-11T15:56:18.406910,0,2,103.18613052368164,33,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.473291,2025-08-11T15:56:18.473291,0,3,103.18613052368164,33,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.513422,2025-08-11T15:56:18.513422,0,4,103.18613052368164,33,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.553693,2025-08-11T15:56:18.573477,19,5,103.18613052368164,53,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.573477,2025-08-11T15:56:18.573477,0,6,103.18613052368164,53,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.616057,2025-08-11T15:56:18.640112,24,7,103.18613052368164,77,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.640112,2025-08-11T15:56:18.673436,33,8,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.673436,2025-08-11T15:56:18.673436,0,9,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.706779,2025-08-11T15:56:18.706779,0,10,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.740278,2025-08-11T15:56:18.740278,0,11,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.773427,2025-08-11T15:56:18.773427,0,12,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.809429,2025-08-11T15:56:18.809429,0,13,103.18613052368164,110,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.908425,2025-08-11T15:56:18.940318,31,14,103.18613052368164,142,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:18.940318,2025-08-11T15:56:18.940318,0,15,103.18613052368164,142,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.140275,2025-08-11T15:56:19.173198,32,1,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:18.240565,2025-08-11T15:56:19.206936,966,1,36.82208061218262,966,0,0,60,dining table,2.1917,422.3848,1014.2573,773.7214,0.4426,Yes,
P02,S4,1,2025-08-11T15:56:19.206936,2025-08-11T15:56:19.240095,33,1,1003.1933784484863,33,0,0,62,tv,157.2535,0.0,785.1437,290.0185,0.6392,Yes,
P02,S4,1,2025-08-11T15:56:19.273376,2025-08-11T15:56:19.273376,0,16,103.18613052368164,142,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.313658,2025-08-11T15:56:19.313658,0,17,103.18613052368164,142,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.407293,2025-08-11T15:56:19.407293,0,18,103.18613052368164,142,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.606952,2025-08-11T15:56:19.653670,46,19,103.18613052368164,189,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.773733,2025-08-11T15:56:19.773733,0,20,103.18613052368164,189,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.822081,2025-08-11T15:56:19.840086,18,21,103.18613052368164,207,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.840086,2025-08-11T15:56:19.872889,32,22,103.18613052368164,239,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.872889,2025-08-11T15:56:19.872889,0,23,103.18613052368164,239,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.907174,2025-08-11T15:56:19.907174,0,24,103.18613052368164,239,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.944367,2025-08-11T15:56:19.944367,0,25,103.18613052368164,239,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:19.980232,2025-08-11T15:56:20.007873,27,26,103.18613052368164,267,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.007873,2025-08-11T15:56:20.040617,32,27,103.18613052368164,300,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.040617,2025-08-11T15:56:20.074039,33,28,103.18613052368164,333,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.074039,2025-08-11T15:56:20.107280,33,29,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.107280,2025-08-11T15:56:20.107280,0,30,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.140840,2025-08-11T15:56:20.140840,0,31,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.173690,2025-08-11T15:56:20.173690,0,32,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.207028,2025-08-11T15:56:20.207028,0,33,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.207028,2025-08-11T15:56:20.207028,0,2,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:20.240449,2025-08-11T15:56:20.240449,0,34,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.240449,2025-08-11T15:56:20.240449,0,3,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:20.281689,2025-08-11T15:56:20.281689,0,35,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.281689,2025-08-11T15:56:20.281689,0,4,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:20.307184,2025-08-11T15:56:20.307184,0,36,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.307184,2025-08-11T15:56:20.307184,0,5,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:20.340205,2025-08-11T15:56:20.340205,0,37,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.340205,2025-08-11T15:56:20.340205,0,6,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
P02,S4,1,2025-08-11T15:56:20.372528,2025-08-11T15:56:20.372528,0,38,103.18613052368164,366,0,0,41,cup,348.168,429.8226,467.3049,554.9107,0.3701,Yes,
P02,S4,1,2025-08-11T15:56:20.372528,2025-08-11T15:56:20.372528,0,7,936.5320205688477,32,0,0,0,person,299.7377,591.6807,1088.0,1069.9939,0.4556,Yes,
