Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P02,S6,2,2025-08-11T16:05:27.544215,2025-08-11T16:05:27.544215,0,1,1484.29274559021,0,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:27.610991,2025-08-11T16:05:27.643632,32,1,1551.0692596435547,32,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:27.774154,2025-08-11T16:05:27.869553,95,2,1551.0692596435547,128,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:27.886743,2025-08-11T16:05:27.949667,62,2,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:28.411430,2025-08-11T16:05:28.540623,129,3,1551.0692596435547,257,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:28.808396,2025-08-11T16:05:28.808396,0,3,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:28.917523,2025-08-11T16:05:29.004722,87,4,1551.0692596435547,344,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:29.456155,2025-08-11T16:05:29.572491,116,5,1551.0692596435547,460,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:29.604997,2025-08-11T16:05:29.772907,167,6,1551.0692596435547,628,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:30.305727,2025-08-11T16:05:30.380640,74,7,1551.0692596435547,703,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:30.809191,2025-08-11T16:05:30.839676,30,8,1551.0692596435547,734,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:30.913652,2025-08-11T16:05:30.946285,32,9,1551.0692596435547,766,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:31.204552,2025-08-11T16:05:31.271164,66,10,1551.0692596435547,833,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:31.305497,2025-08-11T16:05:31.337218,31,11,1551.0692596435547,865,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:32.973006,2025-08-11T16:05:32.973006,0,4,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:33.145799,2025-08-11T16:05:33.202370,56,12,1551.0692596435547,921,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:33.236903,2025-08-11T16:05:33.271337,34,13,1551.0692596435547,956,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:33.306501,2025-08-11T16:05:33.370431,63,14,1551.0692596435547,1019,0,0,60,dining table,105.4718,511.2455,993.7219,617.6415,0.2601,Yes,
P02,S6,2,2025-08-11T16:05:33.438262,2025-08-11T16:05:33.438262,0,5,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:33.705543,2025-08-11T16:05:33.705543,0,6,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:33.736846,2025-08-11T16:05:33.736846,0,7,1484.29274559021,62,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:35.598928,2025-08-11T16:05:35.639642,40,8,1484.29274559021,103,0,0,62,tv,287.9827,38.9024,872.4722,418.0993,0.6023,Yes,
P02,S6,2,2025-08-11T16:05:36.100840,2025-08-11T16:05:36.148256,47,1,10040.91739654541,47,0,0,64,mouse,703.5445,677.661,820.8781,770.1894,0.2569,Yes,
