Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P02,S5,6,2025-08-11T16:03:10.593395,2025-08-11T16:03:10.593395,0,1,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.625972,2025-08-11T16:03:10.625972,0,2,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.660707,2025-08-11T16:03:10.660707,0,3,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.689240,2025-08-11T16:03:10.689240,0,4,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.724126,2025-08-11T16:03:10.724126,0,5,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.768372,2025-08-11T16:03:10.768372,0,6,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.794331,2025-08-11T16:03:10.794331,0,7,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.822809,2025-08-11T16:03:10.822809,0,8,59.46826934814453,0,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.858497,2025-08-11T16:03:10.890320,31,9,59.46826934814453,31,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.969609,2025-08-11T16:03:10.995233,25,10,59.46826934814453,57,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.995233,2025-08-11T16:03:11.022290,27,11,59.46826934814453,84,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:11.022290,2025-08-11T16:03:11.067022,44,12,59.46826934814453,129,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:11.067022,2025-08-11T16:03:11.113638,46,13,59.46826934814453,175,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:11.113638,2025-08-11T16:03:11.126003,12,14,59.46826934814453,188,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:11.126003,2025-08-11T16:03:11.173636,47,15,59.46826934814453,235,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:11.173636,2025-08-11T16:03:11.196051,22,16,59.46826934814453,258,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:10.593395,2025-08-11T16:03:11.196051,602,1,59.46826934814453,602,0,0,60,dining table,4.2484,479.4807,1072.2798,836.2739,0.4851,Yes,
P02,S5,6,2025-08-11T16:03:13.221809,2025-08-11T16:03:13.221809,0,1,2687.882423400879,0,0,0,62,tv,281.6331,16.1472,918.386,412.1526,0.617,Yes,
P02,S5,6,2025-08-11T16:03:13.267169,2025-08-11T16:03:13.267169,0,2,2687.882423400879,0,0,0,62,tv,281.6331,16.1472,918.386,412.1526,0.617,Yes,
P02,S5,6,2025-08-11T16:03:13.291441,2025-08-11T16:03:13.291441,0,3,2687.882423400879,0,0,0,62,tv,281.6331,16.1472,918.386,412.1526,0.617,Yes,
P02,S5,6,2025-08-11T16:03:13.323839,2025-08-11T16:03:13.357936,34,17,59.46826934814453,292,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:13.391677,2025-08-11T16:03:13.433105,41,18,59.46826934814453,333,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
P02,S5,6,2025-08-11T16:03:13.433105,2025-08-11T16:03:13.473677,40,19,59.46826934814453,374,0,0,41,cup,462.8069,500.0741,552.4211,616.4162,0.7366,Yes,
