Participant_ID,Scenario_ID,Round_Number,Start_Time,End_Time,Fixation_Duration_ms,Fixation_Count,Latency_ms,Dwell_Time_ms,Saccade_Frequency,Scan_Path_Length_px,Object_ID,Object_Label,Bounding_Box_Xmin,Bounding_Box_Ymin,Bounding_Box_Xmax,Bounding_Box_Ymax,Confidence_Score,Object_Found,Robot_Alignment_Time_ms
P01,S1,1,2025-08-11T14:44:20.051712,2025-08-11T14:44:20.082666,30,1,182.04379081726074,30,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.082666,2025-08-11T14:44:20.082666,0,2,182.04379081726074,30,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.116226,2025-08-11T14:44:20.116226,0,3,182.04379081726074,30,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.148316,2025-08-11T14:44:20.189547,41,4,182.04379081726074,72,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.218344,2025-08-11T14:44:20.249268,30,5,182.04379081726074,103,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.249268,2025-08-11T14:44:20.249268,0,6,182.04379081726074,103,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.284291,2025-08-11T14:44:20.316130,31,7,182.04379081726074,134,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.487463,2025-08-11T14:44:20.518969,31,8,182.04379081726074,166,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.819352,2025-08-11T14:44:20.852050,32,9,182.04379081726074,199,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.852050,2025-08-11T14:44:20.880154,28,10,182.04379081726074,227,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:20.880154,2025-08-11T14:44:20.913505,33,11,182.04379081726074,260,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.123505,2025-08-11T14:44:21.151450,27,12,182.04379081726074,288,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.179561,2025-08-11T14:44:21.257489,77,13,182.04379081726074,366,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.257489,2025-08-11T14:44:21.280966,23,14,182.04379081726074,389,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.280966,2025-08-11T14:44:21.316212,35,15,182.04379081726074,425,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.350484,2025-08-11T14:44:21.385119,34,16,182.04379081726074,459,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.385119,2025-08-11T14:44:21.428555,43,17,182.04379081726074,503,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.428555,2025-08-11T14:44:21.428555,0,18,182.04379081726074,503,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.450864,2025-08-11T14:44:21.450864,0,19,182.04379081726074,503,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.480384,2025-08-11T14:44:21.480384,0,20,182.04379081726074,503,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:19.953724,2025-08-11T14:44:21.480384,1526,1,84.05613899230957,1526,0,0,60,dining table,14.5131,568.532,1087.87,1068.606,0.6832,Yes,
P01,S1,1,2025-08-11T14:44:21.515791,2025-08-11T14:44:21.561683,45,21,182.04379081726074,549,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
P01,S1,1,2025-08-11T14:44:21.561683,2025-08-11T14:44:21.580935,19,22,182.04379081726074,568,0,0,41,cup,323.7345,678.7527,477.3749,809.8526,0.5634,Yes,
